"","codigo","ano","MULHERES_COM_MAIS_3_PARTOS"
"405","171880","2021","6"
"406","171884","2021","1"
"407","171886","2021","8"
"408","171888","2021","1"
"409","171889","2021","2"
"410","171890","2021","5"
"411","171900","2021","3"
"412","172010","2021","7"
"413","172025","2021","1"
"414","172030","2021","7"
"415","172065","2021","6"
"416","172080","2021","3"
"417","172085","2021","1"
"418","172090","2021","6"
"419","172093","2021","3"
"420","172097","2021","1"
"421","172100","2021","169"
"422","172110","2021","25"
"423","172120","2021","30"
"424","172130","2021","2"
"425","172208","2021","9"
"426","172210","2021","4"
"427","210005","2021","68"
"428","210010","2021","14"
"429","210015","2021","11"
"430","210020","2021","27"
"431","210030","2021","63"
"432","210040","2021","4"
"433","210043","2021","21"
"434","210047","2021","24"
"435","210050","2021","13"
"436","210055","2021","7"
"437","210060","2021","90"
"438","210070","2021","18"
"439","210080","2021","23"
"440","210083","2021","19"
"441","210087","2021","12"
"442","210090","2021","41"
"443","210095","2021","110"
"444","210100","2021","8"
"445","210110","2021","10"
"446","210120","2021","53"
"447","210125","2021","14"
"448","210130","2021","22"
"449","210135","2021","4"
"450","210140","2021","119"
"451","210150","2021","21"
"452","210160","2021","117"
"453","210170","2021","127"
"454","210173","2021","30"
"455","210177","2021","9"
"456","210180","2021","3"
"457","210190","2021","27"
"458","210193","2021","2"
"459","210197","2021","15"
"460","210200","2021","56"
"461","210203","2021","60"
"462","210207","2021","4"
"463","210210","2021","27"
"464","210215","2021","6"
"465","210220","2021","77"
"466","210230","2021","17"
"467","210232","2021","99"
"468","210235","2021","3"
"469","210237","2021","5"
"470","210240","2021","10"
"471","210250","2021","43"
"472","210255","2021","9"
"473","210260","2021","38"
"474","210270","2021","26"
"475","210275","2021","8"
"476","210280","2021","23"
"477","210290","2021","25"
"478","210300","2021","177"
"479","210310","2021","7"
"480","210312","2021","9"
"481","210315","2021","32"
"482","210317","2021","38"
"483","210320","2021","98"
"484","210325","2021","11"
"485","210330","2021","145"
"486","210340","2021","57"
"487","210350","2021","20"
"488","210355","2021","27"
"489","210360","2021","79"
"490","210370","2021","47"
"491","210380","2021","6"
"492","210390","2021","24"
"493","210400","2021","10"
"494","210405","2021","12"
"495","210407","2021","7"
"496","210408","2021","51"
"497","210409","2021","7"
"498","210410","2021","10"
"499","210420","2021","24"
"500","210430","2021","8"
"501","210440","2021","11"
"502","210450","2021","3"
"503","210455","2021","3"
"504","210460","2021","14"
"505","210462","2021","9"
"506","210465","2021","8"
"507","210467","2021","33"
"508","210470","2021","2"
"509","210480","2021","132"
"510","210490","2021","11"
"511","210500","2021","49"
"512","210510","2021","42"
"513","210515","2021","21"
"514","210520","2021","6"
"515","210530","2021","6"
"516","210535","2021","33"
"517","210540","2021","77"
"518","210542","2021","11"
"519","210545","2021","1"
"520","210547","2021","101"
"521","210550","2021","1"
"522","210560","2021","13"
"523","210565","2021","8"
"524","210570","2021","25"
"525","210580","2021","3"
"526","210590","2021","23"
"527","210592","2021","8"
"528","210594","2021","3"
"529","210596","2021","21"
"530","210598","2021","7"
"531","210600","2021","4"
"532","210610","2021","5"
