"","codigo","ano","MULHERES_MENOS_DE_4_ANOS_DE_ESTUDO"
"529","210930","2021","7"
"530","210940","2021","1"
"531","210945","2021","9"
"532","210950","2021","8"
"533","210955","2021","4"
"534","210960","2021","9"
"535","210970","2021","2"
"536","210975","2021","1"
"537","210980","2021","13"
"538","210990","2021","11"
"539","211000","2021","33"
"540","211003","2021","13"
"541","211010","2021","17"
"542","211020","2021","7"
"543","211023","2021","6"
"544","211027","2021","2"
"545","211030","2021","4"
"546","211040","2021","35"
"547","211050","2021","7"
"548","211060","2021","11"
"549","211065","2021","5"
"550","211070","2021","22"
"551","211080","2021","4"
"552","211085","2021","1"
"553","211090","2021","2"
"554","211100","2021","8"
"555","211102","2021","18"
"556","211105","2021","4"
"557","211107","2021","16"
"558","211110","2021","19"
"559","211120","2021","20"
"560","211125","2021","4"
"561","211130","2021","90"
"562","211140","2021","3"
"563","211150","2021","15"
"564","211153","2021","6"
"565","211160","2021","8"
"566","211163","2021","3"
"567","211167","2021","4"
"568","211170","2021","4"
"569","211172","2021","10"
"570","211174","2021","6"
"571","211176","2021","13"
"572","211178","2021","7"
"573","211180","2021","11"
"574","211190","2021","8"
"575","211195","2021","4"
"576","211200","2021","5"
"577","211210","2021","44"
"578","211220","2021","57"
"579","211223","2021","4"
"580","211227","2021","1"
"581","211230","2021","19"
"582","211240","2021","74"
"583","211245","2021","7"
"584","211250","2021","36"
"585","211260","2021","17"
"586","211270","2021","43"
"587","211280","2021","30"
"588","211285","2021","7"
"589","211290","2021","143"
"590","211300","2021","11"
"591","211400","2021","25"
"592","220005","2021","3"
"593","220020","2021","4"
"594","220027","2021","5"
"595","220030","2021","6"
"596","220040","2021","19"
"597","220045","2021","3"
"598","220050","2021","6"
"599","220060","2021","1"
"600","220070","2021","3"
"601","220080","2021","1"
"602","220090","2021","2"
"603","220095","2021","2"
"604","220100","2021","1"
"605","220105","2021","5"
"606","220110","2021","6"
"607","220115","2021","5"
"608","220117","2021","1"
"609","220120","2021","27"
"610","220130","2021","1"
"611","220140","2021","4"
"612","220150","2021","12"
"613","220155","2021","2"
"614","220157","2021","1"
"615","220160","2021","7"
"616","220173","2021","6"
"617","220177","2021","2"
"618","220180","2021","2"
"619","220190","2021","8"
"620","220191","2021","4"
"621","220192","2021","1"
"622","220194","2021","3"
"623","220196","2021","3"
"624","220198","2021","1"
"625","220200","2021","9"
"626","220202","2021","3"
"627","220205","2021","1"
"628","220208","2021","2"
"629","220211","2021","4"
"630","220213","2021","1"
"631","220217","2021","5"
"632","220220","2021","15"
"633","220230","2021","19"
"634","220240","2021","2"
"635","220250","2021","10"
"636","220253","2021","2"
"637","220255","2021","3"
"638","220260","2021","13"
"639","220265","2021","6"
"640","220270","2021","27"
"641","220271","2021","2"
"642","220272","2021","7"
"643","220273","2021","2"
"644","220275","2021","2"
"645","220280","2021","2"
"646","220290","2021","16"
"647","220300","2021","2"
"648","220310","2021","4"
"649","220320","2021","8"
"650","220323","2021","3"
"651","220325","2021","2"
"652","220327","2021","3"
"653","220330","2021","4"
"654","220335","2021","8"
"655","220340","2021","2"
"656","220342","2021","1"
"657","220345","2021","2"
"658","220350","2021","8"
"659","220370","2021","18"
"660","220375","2021","2"
"661","220380","2021","1"
"662","220390","2021","5"
"663","220400","2021","1"
"664","220410","2021","1"
"665","220415","2021","1"
"666","220420","2021","1"
"667","220430","2021","2"
"668","220435","2021","3"
"669","220440","2021","8"
"670","220455","2021","1"
"671","220460","2021","1"
"672","220465","2021","4"
"673","220490","2021","3"
"674","220500","2021","4"
"675","220510","2021","3"
"676","220515","2021","2"
"677","220520","2021","20"
"678","220525","2021","1"
"679","220527","2021","1"
"680","220530","2021","1"
"681","220535","2021","1"
"682","220540","2021","6"
"683","220545","2021","1"
"684","220550","2021","17"
"685","220551","2021","1"
"686","220553","2021","4"
"687","220554","2021","1"
"688","220555","2021","9"
"689","220556","2021","3"
"690","220557","2021","3"
"691","220558","2021","1"
"692","220559","2021","1"
"693","220560","2021","1"
"694","220570","2021","20"
"695","220580","2021","4"
"696","220595","2021","6"
"697","220600","2021","1"
"698","220605","2021","2"
"699","220610","2021","7"
"700","220620","2021","37"
"701","220635","2021","5"
"702","220640","2021","3"
"703","220650","2021","5"
"704","220660","2021","7"
"705","220665","2021","4"
"706","220667","2021","2"
"707","220669","2021","7"
"708","220670","2021","4"
"709","220672","2021","5"
"710","220675","2021","2"
"711","220680","2021","8"
"712","220690","2021","3"
"713","220695","2021","2"
"714","220700","2021","6"
"715","220710","2021","4"
"716","220720","2021","2"
"717","220740","2021","1"
"718","220750","2021","10"
"719","220760","2021","4"
"720","220770","2021","52"
"721","220775","2021","2"
"722","220777","2021","3"
"723","220779","2021","1"
"724","220780","2021","13"
"725","220790","2021","25"
"726","220795","2021","1"
"727","220800","2021","13"
"728","220810","2021","2"
"729","220820","2021","6"
"730","220830","2021","21"
"731","220840","2021","24"
"732","220850","2021","10"
"733","220855","2021","2"
"734","220860","2021","4"
"735","220865","2021","6"
"736","220870","2021","12"
"737","220880","2021","7"
"738","220885","2021","5"
"739","220890","2021","2"
"740","220900","2021","3"
"741","220910","2021","1"
"742","220915","2021","2"
"743","220920","2021","4"
"744","220930","2021","2"
"745","220935","2021","2"
"746","220940","2021","2"
"747","220955","2021","1"
"748","220960","2021","2"
"749","220965","2021","2"
"750","220975","2021","4"
"751","220980","2021","4"
"752","220985","2021","4"
"753","220987","2021","6"
"754","220990","2021","2"
"755","220995","2021","2"
"756","220997","2021","6"
"757","221000","2021","4"
"758","221005","2021","4"
"759","221020","2021","2"
"760","221030","2021","1"
"761","221040","2021","8"
"762","221050","2021","5"
"763","221060","2021","12"
"764","221062","2021","4"
"765","221063","2021","1"
"766","221065","2021","5"
"767","221070","2021","10"
"768","221080","2021","4"
"769","221090","2021","2"
"770","221093","2021","1"
"771","221095","2021","3"
"772","221100","2021","135"
"773","221110","2021","79"
"774","221120","2021","13"
"775","221130","2021","7"
"776","221135","2021","4"
"777","221140","2021","1"
"778","230010","2021","6"
"779","230015","2021","8"
"780","230020","2021","7"
"781","230030","2021","9"
"782","230040","2021","4"
"783","230050","2021","5"
"784","230060","2021","4"
"785","230070","2021","4"
"786","230075","2021","14"
"787","230080","2021","2"
"788","230090","2021","3"
"789","230100","2021","79"
"790","230110","2021","9"
"791","230120","2021","14"
"792","230125","2021","5"
"793","230130","2021","12"
"794","230140","2021","1"
"795","230150","2021","3"
"796","230160","2021","10"
"797","230170","2021","6"
"798","230180","2021","1"
"799","230185","2021","6"
"800","230190","2021","12"
"801","230195","2021","11"
"802","230200","2021","7"
"803","230205","2021","4"
"804","230210","2021","9"
"805","230220","2021","9"
"806","230230","2021","9"
"807","230240","2021","3"
"808","230250","2021","18"
"809","230260","2021","18"
"810","230270","2021","6"
"811","230280","2021","32"
"812","230290","2021","8"
"813","230300","2021","13"
"814","230310","2021","3"
"815","230320","2021","7"
"816","230330","2021","3"
"817","230340","2021","16"
"818","230350","2021","18"
"819","230365","2021","2"
"820","230370","2021","84"
"821","230380","2021","1"
"822","230393","2021","11"
"823","230395","2021","8"
"824","230400","2021","14"
"825","230410","2021","32"
"826","230420","2021","16"
"827","230423","2021","11"
"828","230425","2021","6"
"829","230427","2021","2"
"830","230430","2021","4"
"831","230435","2021","7"
"832","230440","2021","357"
"833","230445","2021","4"
"834","230450","2021","4"
"835","230460","2021","6"
"836","230465","2021","10"
"837","230470","2021","29"
"838","230480","2021","4"
"839","230490","2021","5"
"840","230495","2021","5"
"841","230500","2021","20"
"842","230510","2021","2"
"843","230520","2021","4"
"844","230523","2021","6"
"845","230526","2021","9"
"846","230530","2021","10"
"847","230533","2021","2"
"848","230535","2021","5"
"849","230540","2021","12"
"850","230550","2021","10"
"851","230560","2021","11"
"852","230565","2021","5"
"853","230570","2021","4"
"854","230580","2021","36"
"855","230590","2021","15"
"856","230600","2021","1"
"857","230610","2021","12"
"858","230620","2021","1"
"859","230625","2021","2"
"860","230630","2021","12"
"861","230640","2021","33"
"862","230650","2021","7"
"863","230655","2021","13"
"864","230660","2021","8"
"865","230680","2021","2"
"866","230690","2021","6"
"867","230700","2021","12"
"868","230710","2021","11"
"869","230720","2021","2"
"870","230725","2021","6"
"871","230730","2021","50"
"872","230740","2021","8"
"873","230750","2021","9"
"874","230760","2021","11"
"875","230763","2021","7"
"876","230765","2021","50"
"877","230770","2021","23"
"878","230780","2021","13"
"879","230790","2021","6"
"880","230800","2021","7"
"881","230810","2021","16"
"882","230820","2021","4"
"883","230830","2021","5"
"884","230835","2021","5"
"885","230837","2021","5"
"886","230840","2021","15"
"887","230850","2021","8"
"888","230860","2021","4"
"889","230870","2021","22"
"890","230880","2021","9"
"891","230890","2021","7"
"892","230900","2021","3"
"893","230910","2021","6"
"894","230920","2021","4"
"895","230930","2021","24"
"896","230940","2021","16"
"897","230945","2021","14"
"898","230950","2021","4"
"899","230960","2021","20"
"900","230970","2021","21"
"901","230980","2021","3"
"902","230990","2021","2"
"903","231000","2021","7"
"904","231010","2021","5"
"905","231020","2021","12"
"906","231025","2021","13"
"907","231030","2021","8"
"908","231040","2021","2"
"909","231050","2021","17"
"910","231060","2021","5"
"911","231070","2021","7"
"912","231080","2021","2"
"913","231085","2021","4"
"914","231090","2021","1"
"915","231095","2021","10"
"916","231100","2021","8"
"917","231110","2021","4"
"918","231120","2021","4"
"919","231123","2021","1"
"920","231126","2021","8"
"921","231130","2021","39"
"922","231135","2021","2"
"923","231140","2021","37"
"924","231150","2021","3"
"925","231160","2021","11"
"926","231170","2021","6"
"927","231180","2021","15"
"928","231190","2021","4"
"929","231195","2021","14"
"930","231200","2021","12"
"931","231210","2021","7"
"932","231220","2021","14"
"933","231230","2021","22"
"934","231240","2021","10"
"935","231260","2021","7"
"936","231270","2021","7"
"937","231280","2021","3"
"938","231290","2021","71"
"939","231300","2021","6"
"940","231310","2021","7"
"941","231320","2021","17"
"942","231325","2021","1"
"943","231330","2021","8"
"944","231335","2021","10"
"945","231340","2021","20"
"946","231350","2021","19"
"947","231355","2021","7"
"948","231360","2021","4"
"949","231370","2021","1"
"950","231375","2021","6"
"951","231380","2021","9"
"952","231390","2021","1"
"953","231395","2021","13"
"954","231400","2021","11"
"955","231410","2021","41"
"956","240010","2021","2"
"957","240020","2021","5"
"958","240030","2021","2"
"959","240040","2021","1"
"960","240050","2021","4"
"961","240080","2021","1"
"962","240090","2021","6"
"963","240100","2021","12"
"964","240110","2021","5"
"965","240120","2021","6"
"966","240130","2021","1"
"967","240140","2021","2"
"968","240145","2021","5"
"969","240150","2021","2"
"970","240165","2021","1"
"971","240170","2021","5"
"972","240180","2021","5"
"973","240190","2021","1"
"974","240200","2021","11"
"975","240210","2021","5"
"976","240220","2021","24"
"977","240230","2021","1"
"978","240240","2021","1"
"979","240250","2021","1"
"980","240260","2021","29"
"981","240270","2021","1"
"982","240280","2021","3"
"983","240290","2021","2"
"984","240300","2021","1"
"985","240310","2021","4"
"986","240320","2021","1"
"987","240325","2021","31"
"988","240330","2021","1"
